,**ARTERIOLAR RESISTANCE**,,,,
,**Afferent**,**Efferent**,**Renal Blood Flow**,**Net Ultrafiltration Pressure**,**K<sub>f</sub>**,**GFR**
Renal sympathetic nerves,↑↑,↑,↓,↓,↓,↓
Epinephrine,↑,↑,↓,←,?,↓
Adenosine,↑,←,↓,↓,?,↓
Cyclosporine,↑,←,↓,↓,?,↓
NSAIDS,↑↑,↑,↓,↓,?,↓
Angiotensin II,↑,↑↑,↓,↑,↓,↓→
Endothelin-1,↑,↑↑,↓,↑,↓,↓
High-protein diet,↓,←,↑,↑,←,↑
Nitric oxide,↓,↓,↑,?,↑,↑ (?)
ANP (high dose),↓,←,↑,↑,↑,↑
PGE<sub>2</sub>/PGI<sub>2</sub>,↓,↓(?),↑,↑,?,↑
Calcium channel blockers,↓,←,↑,↑,?,↑
"ACE inhibitors, ARBs",↓,↓,↑,↑,?,?a
