Pathology,First-Choice Imaging
"Acute kidney injury, chronic kidney disease",Ultrasound
Hematuria,Ultrasound or CT
"Proteinuria, nephrotic syndrome",Ultrasound
,Multiphase CT urography
Hypertension with normal kidney function,Ultrasound
,Consider CTA or MRA
Hypertension with impaired kidney function,Ultrasound with Doppler
Kidney infection,Contrast-enhanced CT
Hydronephrosis identified on ultrasound,Nuclear renogram
Retroperitoneal fibrosis,Contrast-enhanced CT
Papillary or cortical necrosis,Contrast-enhanced CT
Renal vein thrombosis,Contrast-enhanced CT
Kidney infarction,Contrast-enhanced CT
Nephrocalcinosis and nephrolithiasis,CT
