,Drugs That Potentiate Renal Action of Vasopressin
**Vasopressin Analogs**,Chlorpropamide
Desmopressin (DDAVP),Cyclophosphamide
Oxytocin,Nonsteroidal anti-inflammatory drugs (NSAIDs)
,Acetaminophen
**Drugs That Enhance Vasopressin Release**,**Drugs That Cause Hyponatremia by Unknown Mechanisms**
Chlorpropamide,Haloperidol
Clofibrate,Fluphenazine
Carbamazepine-oxcarbazepine,Amitriptyline
Vincristine,Thioridazine
Nicotine,Fluoxetine
Narcotics,"Methamphetamine (MDMA, ""ecstasy"")"
Antipsychotics/antidepressants (SSRIs),Intravenous immunoglobulin (IVIG)
Ifosfamide,
