Carcinomas,Pulmonary Disorders,Nervous System Disorders,Other
Bronchogenic carcinoma,Viral pneumonia,"Encephalitis (viral, bacterial)",Human immunodeficiency virus (HIV)
Carcinoma of duodenum,Bacterial pneumonia,"Meningitis (viral, bacterial, tuberculous, fungal)",infection; acquired immunodeficiency
Carcinoma of pancreas,Pulmonary abscess,Head trauma,syndrome (AIDS)
Thymoma,Tuberculosis,Brain abscess,Idiopathic (elderly)
Carcinoma of stomach,Aspergillosis,Brain tumors,Prolonged exercise
Lymphoma,Positive-pressure ventilation,Guillain-Barré syndrome,
Ewing sarcoma,Asthma,Acute intermittent porphyria,
Carcinoma of bladder,Pneumothorax,Subarachnoid hemorrhage or subdural hematoma,
Carcinoma of prostate,Mesothelioma,Cerebellar and cerebral atrophy,
Oropharyngeal tumor,Cystic fibrosis,Cavernous sinus thrombosis,
Carcinoma of ureter,,Neonatal hypoxia,
,,Hydrocephalus,
,,Shy-Drager syndrome,
,,Rocky Mountain spotted fever,
,,Delirium tremens,
,,Cerebrovascular accident (stroke; cerebral thrombosis or hemorrhage),
,,Acute psychosis,
,,Peripheral neuropathy,
,,Multiple sclerosis,
