Class,Mechanism,Examples
Potassium-containing drugs,Increased potassium intake,"KCl, penicillin G, Na citrate, K citrate"
B-Adrenergic receptor blockers (β-blockers),Inhibit renin release,"Propranolol, metoprolol, atenolol"
ACE inhibitors,Inhibit conversion of angiotensin I to angiotensin II,"Captopril, lisinopril"
ARBs,"Inhibit activation of AT, receptor by angiotensin II","Losartan, valsartan, irbesartan"
Direct renin inhibitors,"Inhibit renin activity, leading to decreased angiotensin II production",Aliskiren
Heparin,"Inhibit aldosterone synthase, rate-limiting enzyme for aldosterone synthesis",Heparin sodium
Aldosterone receptor antagonists,Block aldosterone receptor activation,"Spironolactone, eplerenone, finerenone"
Potassium-sparing diuretics,"Block collecting duct apical ENaC Na channel, decreasing gradient for K secretion","Amiloride, triamterene; certain antibiotics, specifically trimethoprim and pentamidine"
NSAIDs and COX-2 inhibitors,Inhibit prostaglandin stimulation of collecting duct K+ secretion; inhibit renin release,"Ibuprofen, diclofenac"
Digitalis glycosides,"Inhibit Na+, K+-ATPase necessary for collecting duct K+ secretion and regulation of K+ distribution into cells",Digoxin
Calcineurin inhibitors,"Inhibit Na+, K+-ATPase necessary for collecting duct K+ secretion","Cyclosporine, tacrolimus"
