Immunostaining,Example of Diagnostic Use
**Standard**,
IgG,"Diseases with IgG deposits (e.g., MPGN, anti-GBM GN)"
IgA,IgA nephropathy and vasculitis
IgM,Mixed cryoglobulinemia or Waldenstrom macroglobulinemia
C3,C3 glomerulopathies
C1q,Lupus nephritis
**Specific**,
Kappa and light chain,Renal involvement in monoclonal light chain diseases
Fibrinogen,"Necrosis, thrombotic microangiopathies"
Phospholipase A2 receptor,Primary membranous nephropathy
"THSD7A, exostosin 1 and 2",PLA₂R negative membranous nephropathy
"IgG1, IgG2, IgG3",Monoclonal IgG deposits
IgG4,"Membranous nephropathy, IgG4-associated interstitial nephritis"
DNAJB9,Fibrillary GN
Collagen type 4 alpha 3 and 5 chains,Alport syndrome
"Specific amyloid antibodies (e.g., amyloid A, transthyretin)",Subtyping amyloidosis
