,
"Age, years (range)",50 (9-87)
Male sex,210 (56%)
**Race or Ethnic Group**,
White,307 (82%)
South Asian,27 (7%)
Other,40 (11%)
**Duration of Inflammatory Disease at Diagnosis (Years)**,
Median,17
Range,0-68
**Kidney Dysfunction**,
Proteinuria >500 mg/day or serum creatinine >133 µmol/L,363 (97%)
End-stage kidney disease,41 (11%)
"Proteinuria, g/day median (range)",3.9 (0-26.0)
**Liver Involvement**,
"Hepatomegaly, n (%)",35 (9%)
Deposits on SAP scintigraphy,85 (23%)
**Splenic Involvement**,
Deposits on SAP scintigraphy,370 (99%)
**Cardiac Involvement**,
Cardiac failure (n),1
Cardiac infiltration (n),2
