Clinical Presentation,Etiology
**Hemolytic Uremic Syndrome**,
Stx associated,Infections by Shiga toxin-producing bacteria
Atypical hemolytic uremic syndrome,"Complement gene abnormalities: 60% overall;CFH, 20%-30%; CFI, 4-8%; C3, 8%-10%; MCP, 8%-10%; THBD, 3%-4%; CFB, 1%-2%;CFH/CFHR hybrid genes: 3%-5%;DGKE: 10% of patients <1 year old;anti-CFH antibodies: 5%-10%"
**Secondary Hemolytic Uremic Syndrome**,
Streptococcus pneumoniae,Desialylation of cells by neuroaminidase;Complement gene abnormalities: 20%-30%
Pregnancy associated,Complement gene abnormalities: 50%-60%
Malignant hypertension,Complement gene abnormalities: 35%-65%
Transplantation (de novo HUS),"Calcineurin inhibitors, ischemia, immune response;Complement gene abnormalities: 30%"
BM/HSC transplantation,"Immunosuppression, chemotherapy, GVHD, radiation, infections;Complement gene abnormalities: 20%-60%"
Autoimmune and systemic diseases,"Autoimmune endothelial damage, secondary complement activation;Complement gene abnormalities: around 10%"
Drugs,Direct toxicity to endothelial cells;Complement gene abnormalities rare: <1%
Infections,"Endothelial injury, complement activation;Complement gene abnormalities: variable %"
Malignancies,Unknown
Cobalamin C deficiency,MMACHC mutations
**Thrombotic Thrombocytopenic Purpura**,
Genetic,Homozygous or compound heterozygous mutations in ADAMTS13 gene
Acquired,Anti-ADAMTS13 autoantibodies
