Criterion,"NCEP ATP III, 2005 Update (▷3 Criteria)","International Diabetes Federation, 2005 (Obesity + 2 Other Criteria)"
Abdominal obesity,Waist circumference,Required for diagnosis
Men,>40 inches (>102 cm),>94 cm
Women,>35 inches (>88 cm),>80 cm
Hypertriglyceridemia,>150 mg/dL (>1.7 mmol/L),>150 mg/dL (>1.7 mmol/L) or treatment
Low HDL,,
Men,<40 mg/dL (<1.03 mmol/L),<40 mg/dL (<1.03 mmol/L) or treatment
Women,<50 mg/dL (<1.30 mmol/L),<50 mg/dL (<1.30 mmol/L) or treatment
Hypertension,≥130/85 mm Hg or taking antihypertensive medication,≥130/85 mm Hg or taking antihypertensive medication
Impaired fasting glucose or diabetes,Glucose≥100 mg/dL (≥5.6 mmol/L) or taking insulin or hypoglycemic medication,Glucose ≥100 mg/dL (≥5.6 mmol/L) or taking insulin or hypoglycemic medication
