Outcome,Number of Trials,Effects Model,RR (95% CI),P Value for Heterogeneity
Coronary heart disease,24,Fixed,0.86 (0.80-0.93),.55
,,Random,0.87 (0.80-0.94),.55
Stroke,23,Fixed,0.69 (0.64-0.74),.004
,,Random,0.68 (0.61-0.76),.004
CHF,7,Fixed,0.54 (0.45-0.66),.66
,,Random,0.60 (0.49-0.74),.80
Major CVD events,28,Fixed,0.78 (0.74-0.81),<.001
,,Random,0.73 (0.62-0.87),<.001
CVD mortality,23,Fixed,0.84 (0.78-0.90),.10
,,Random,0.84 (0.78-0.90),.10
Total mortality,25,Fixed,0.90 (0.85-0.95),.58
,,Random,0.90 (0.85-0.95),.59
