Drug,Mechanism of Action,Dose,Onset of Action,Duration of Action,Adverse Effectsa,Special Indications
**Vasodilators**,,,,,,
Nicardipine hydrochloride,Calcium channel blocker,Initial 5 mg/h IV; increase every 5 min up to 15 mg/h,5-15 min,"15-30 min, may exceed 4 h","Tachycardia, headache, flushing, nausea, vomiting, local phlebitis",Most hypertensive emergencies except acute HF
Clevidipine butyrate,Calcium channel blocker,1-2 mg/h IV; increase every 5-10 min up to 16 mg/h,2-4 min,5-15 min,"Tachycardia, headache, flushing, HF deterioration",Most hypertensive emergencies; caution with severe aortic stenosis
Isradipine,Calcium channel blocker,"0.15 µg/kg/min IV, increase by 0.0025 µg/kg/min every 15 min<br>Maintenance infusion 0.15 µg/kg/min",1-10 min,1-2h,"Headache, flushing, peripheral edema, dizziness, tachycardia","Perioperative, pregnancy"
Fenoldopam mesylate,Dopamine-1 receptor agonist,Initial 0.1-0.3 µg/kg/min IV; increase by 0.05-0.1 µg/kg/min every 15 min up to 1.6 µg/kg/min,>5 min,30 min,"Tachycardia, headache, nausea, flushing",Most hypertensive emergencies; caution with glaucoma
Sodium nitroprusside,"↑ Cyclic GMP, blocks intracellular Ca²⁺ increase",Initial 0.25-0.5 µg/kg/min IVb; increase by 0.5 µg/kg/min up to 10 µg/kg/min,Immediate,1-2 min,"Nausea, vomiting, muscle twitching, thiocyanate and cyanide intoxication, impaired cerebral autoregulation, coronary steal syndrome","Caution in situations associated with CNS manifestations, hepatic failure or renal failure; probably should be avoided if given other agents, especially fenoldopam"
Nitroglycerin,↑ Nitrate receptors,Initial 5 µg/min IV; increase by 5 µg/min every 3-5 min up to 20 µg/min,2-5 min,5-10 min,"Headache, vomiting, methemoglobinemia, tachyphylaxis, tolerance with prolonged use","Coronary ischemia, pulmonary edema"
Enalaprilat,ACE inhibitor,Initial 1.25 mg over 5 min IV; increased up to5 mg every 6h,15-30 min,6-12h,"Precipitous fall in BP in high-renin states, variable response, acute renal failure",Acute left ventricular failure; avoid in acute MI
Hydralazine hydrochloride,Opens K+ channels,Initial 10-20 mg IV; repeat every 4-6 h,10-20 min,1-4h,"Tachycardia, flushing, headache, vomiting, aggravation of angina",Must be given with concomitant IV β-blockers to avoid precipitation of angina but not a preferred initial choice or treatment
**Adrenergic Inhibitors**,,,,,,
Labetalol hydrochloride,"α₁-, β-Blocker",Initial 0.3-1.0 mg/kg dose (maximum 80 mg) in slow IV injection and repeat after 10 min or 0.4-1.0 mg/kg/h IV infusion up to 3 mg/kg/h<br>Maximum dose 300 mg; can be repeated every 4-6 h,5-10 min,3-6h,"Nausea, vomiting, scalp tingling, bronchoconstriction, dizziness, heart block, heart failure",Most hypertensive emergencies except acute HF
Esmolol hydrochloride,β₁-Blocker,"0.5-2 mg/min IV infusion or 250-500 µg/kg/min IV bolus, then 50-100 µg/kg/min by infusion; may repeat bolus after 5 min or increase infusion to 300 µg/min",1-2 min,10-30 min,"Nausea, asthma, first-degree heart block, HF, thrombophlebitis, COPD","Aortic dissection, perioperative, increased heart output or heart rate"
Urapidil,"α₁-Blocker, serotonin (5-HT₁A) receptor agonist",12.5-25 mg IV bolus followed by 5-40 mg/h IV infusion,3-5 min,4-6 h,"Headache, dizziness",Perioperative
Phentolamine,α-Blocker,Initial 5-15 mg IV bolus; repeat after 10 min,1-2 min,10-30 min,"Tachycardia, flushing, headache",Catecholamine excess
