Type of Emergency,First-Choice Drug(s),Second-Choice or Additional Drug(s),Drugs to Avoid,Aim of BP Reduction
**Cardiac**,,,,
Coronary ischemia/infarction,"Nicardipine, clevidipine, labetalol, nitroglycerin","Sodium nitroprusside, esmolol if heart failure absent","Diazoxide, hydralazine",Improvement in cardiac perfusion
"Heart failure, pulmonary edema","Clevidipine, nitroglycerin, fenoldopam,","Sodium nitroprusside, enalaprilat; loop diuretics","Diazoxide, hydralazine; β-blockers",Decrease in afterload
Aortic dissection,Labetalol or combination of esmolol with sodium nitroprusside or fenoldopam or nicardipine,,"Diazoxide, hydralazine",Decrease of aortic wall stress with systolic BP reduction <120 mm Hg in 1 hour
**Renal**,,,,
"Acute glomerulonephritis, collagen vascular renal disease, or renal artery stenosis",Fenoldopam,"Nicardipine, labetalol, clevidipine; diuretics for volume overload",Sodium nitroprusside; ACE inhibitors and ARBs,Reduction in vascular resistance and volume overload without compromise of renal blood flow or glomerular filtration rate
Scleroderma crisis,Enalaprilat or other ACE inhibitor,"Angiotensin receptor blocker, fenoldopam","Corticosteroids,a diuretics",Decrease BP up to 25% over 1 hour
**Neurologic**,,,,
Hypertensive encephalopathy,"Nicardipine, fenoldopam, labetalol, clevidipine","Nitroprusside, esmolol, urapidil",,Decrease BP up to 25% over 1 hour
Ischemic stroke,"Nicardipine, labetalol, clevidipine","Nitroprusside, nimodipine, esmolol, urapidil",,Reduction of BP if >220/120 mm Hg by up to 15% within first 24 hours to avoid impairing cerebral blood flow in penumbra<br>Reduction of BP if >185/110 in candidates of thrombolysis
Intracerebral hemorrhage,"Nicardipine, labetalol, clevidipine","Fenoldopam, nitroprusside, esmolol, urapidil, nimodipine for subarachnoid hemorrhage",,"For patients presenting with SBP >220 mm Hg, it is reasonable to reduce SBP to 140-180 mm Hg. For patients presenting with SBP 150-220 mm Hg, decreasing to <140 mm Hg is not of benefit."
**Catecholamine Excess States**,,,,
Pheochromocytoma,Phentolamine or labetalol,"β-Blocker in the presence of phentolamine, sodium nitroprusside","Diuretics, β-blockers alone",Control of BP paroxysms from sympathetic stimulation; reduce SBP <140 mm Hg over 1 hour
Ingestion of cocaine or other sympathomimetic,Phentolamine or labetalol,"β-Blocker in the presence of phentolamine, sodium nitroprusside",Diuretics,Control of BP paroxysms from sympathetic stimulation
**Perioperative/Postoperative Hypertension**,,,,
Coronary artery surgery,"Nitroglycerin, nicardipine, clevidipine","Esmolol, labetalol, fenoldopam, isradipine, urapidil",,Protection against target organ damage and surgical complications (keep BP <140/90 mm Hg)
Noncardiac surgery,"Esmolol, labetalol, fenoldopam, nicardipine, clevidipine, urapidil, nitroglycerin",,,Protection against target organ damage and surgical complications
**Pregnancy Related**,,,,
Eclampsia,"Labetalol, urapidil","Isradipine, nicardipine, MgSO₄, methyldopa, hydralazine","Nitroprusside, ACE inhibitors, ARBs",Reduce BP <140-160/105 mm Hg over 1 hour and protect placental blood flow
