Trial,Study Design,Study Arms,No. of Patients,Results
Acute Candesartan Cilexetil Evaluation in Stroke Survivors (ACCESS),"Prospective, double-blind, placebo-controlled, randomized, multicenter, phase II",Candesartan vs. placebo,342,"Lower 12-month mortality and vascular events in the candesartan group, but no significant difference in BP between the two arms."
Scandinavian Candesartan Acute Stroke Trial (SCAST),"Prospective, double-blind, placebo-controlled, randomized, multicenter",Candesartan vs. placebo,2029 (274 had cerebral hemorrhage),"During 6 months of follow-up, the risk of the composite vascular endpoint did not differ between treatment groups. Analysis of functional outcome suggested a higher risk for poor outcome in the candesartan group."
Controlling Hypertension and Hypotension Immediately Post-Stroke (CHHIPS),"Prospective, double-blind, placebo-controlled, randomized, multicenter",Labetalol vs. lisinopril vs. placebo,179 (25 had cerebral hemorrhage),"No difference in death or dependency at 2 weeks, early neurologic deterioration, or serious adverse event."
Continue or Stop Post-stroke Antihypertensive Collaborative Study (COSSACS),"Prospective, open, multicenter, randomized, blinded-endpoint trial",Continue vs. stop preexisting antihypertensive drugs,763 (38 had cerebral hemorrhage),"Continuation of antihypertensive drugs did not reduce 2-week death or dependency, cardiovascular event rate, or mortality at 6 months."
Glycine Antagonist in Neuroprotection (GAIN International),"Prospective, double-blind, placebo-controlled, randomized, multicenter",Gavestinel vs. placebo,1445,A 30% drop in mean arterial pressure from baseline was not associated with poor outcome.
Intravenous Nimodipine West European Stroke Trial (INWEST),"Prospective, double-blind, placebo-controlled, randomized, multicenter",Placebo vs. low-dose vs. high-dose nimodipine,265,Patients with a DBP reduction of ≥20% in the high-dose group had a significantly increased adjusted odds ratio for the compound outcome variable of death or dependency.
Chinese Antihypertensive Trial in Acute Ischemic Stroke (CATIS),"Prospective, single-blind, randomized, blinded endpoint, multicenter",Antihypertensive treatment vs. discontinuing all antihypertensives,4071,"BP reduction with antihypertensive medications, compared with the absence of hypertensive medication, did not reduce the likelihood of death and major disability at 14 days or hospital discharge."
Efficacy of Nitric Acid in Stroke (ENOS),"Prospective, multicenter, randomized, placebo-controlled, patient-masked, outcome-assessor-masked, parallel-group trial",Glyceryl trinitrate vs. no treatment; subset taking antihypertensive medications on admission randomized to taking vs. stopping them,4011 (629 had cerebral hemorrhage),Transdermal glyceryl trinitrate lowered BP and had acceptable safety but did not improve functional outcome. There was no evidence to support continuing prestroke antihypertensive drugs in patients in the first few days after acute stroke.
Valsartan Efficacy on Modest Blood Pressure Reduction in Acute Ischemic Stroke (VENTURE),"Prospective, multicenter, randomized, open-label, blinded-endpoint trial",Valsartan vs. no treatment,393,Early reduction of BP with valsartan did not reduce death or dependency and major vascular events at 90 days but increased the risk for early neurologic deterioration.
Intensive BP reduction with intravenous thrombolysis therapy for acute ischemic stroke (ENCHANTED),"International, partial-factorial, open-label, blinded-endpoint",Intensive (systolic BP 130-140 mm Hg) or guideline (systolic BP < 180 mm Hg) antihypertensive treatment for 72 hours in patients within 6 hours of stroke onset and treated with intravenous alteplase,2227,"Fewer patients in the intensive group had intracranial hemorrhage, but there was no difference in clinical outcome between the two groups."
Prehospital transdermal glyceryl trinitrate in patients with ultra-acute presumed stroke (RIGHT-2),"Prospective, multicentric, paramedic-delivered, ambulance-based, randomized, sham-controlled, blinded endpoint",Transdermal nitroglycerin vs. sham dressing,"1149 (597 with ischemic stroke, 145 with cerebral hemorrhage, 109 with transient ischemic attack, 297 with a nonstroke mimic)",Nitroglycerin did not lead to an improved outcome at 90 days.
