**Study**,**ASTRAL (2009)**,**STAR (2009)**,**CORAL (2014)**
Cohort,Hypertension,Hypertension and CKD,Hypertension and/or CKD
Entry BP,No BP threshold required,BP <140/90 mm Hg and stable for 1 month and eGFR <80 mL/min,SBP >155 mm Hg on two or more medications or eGFR <60 mL/min
Stenosis,">50% by MRA, CTA, angiography",">50% by MRA, CTA, or angiography",">60% by MRA, CTA, angiography, DUS"
Excluded,Clinician certain patient would benefit from stent or require stent within 6 months,"Malignant hypertension, Pulmonary edema with bilateral RA stenting, Intolerance to ACEI/ARBs as evidenced by >20% drop in CrCl","Entry creatinine >4 mg/dL, Kidney length <7 cm"
% Stenosis,75.5 mean %,NA,67.3%/66.2%
CKD,Mean creatinine 2.0 mg/dL,Mean creatinine 1.7 mg/dL,Mean eGFR 58 mL/min/1.73 m²
% Bilateral,53.5%,47.9%,22%
Subjects per arm (N/N),403/403,76/64,459/472
Follow-up,33.6 months,24 months,43 months
Treatment,Stent,Stent,Stent
Medical treatment,At discretion of sites BP control with or without ACEI or ARB. No specified target BP,"BP target <140/90 mm Hg, ACEI/ARB last resort, ASA, Statin, Smoking cessation counseling","BP target <140/90 mm Hg, 130/80 mm Hg for DM and CKD, ACE/ARB first-line, ASA, Statin goal LDL <70 mg/dL, Hb A1c <7.0% for DM, Smoking cessation counseling"
Endpoint,Rate of progression of CKD based on reciprocal creatinine over time,≥20% decrease in CrCl,Composite cardiovascular and renal events
Outcome,No significant difference,No significant difference,No significant difference
