Clinical Features,PE,HUS/TTP,HELLP,AFLP
Hemolytic anemia,+/-,+++,++,+/-
Thrombocytopenia,+/-,+++,++,+/-
Coagulopathy,+/-,–,+/-,+
CNS symptoms,+/-,+/- (HUS) ++ (TTP),+/-,+/-
Kidney failure,+/-,+++ (HUS),+,++
Hypertension,++,+/-,+++,+/-
Proteinuria,+/-,+/-,++,+/-
Elevated AST,+/-,+/-,++,+++
Elevated ALT,+/-,–,++,+++
Elevated bilirubin,+/-,++,+,+++
Anemia,+/-,++,+,+/-
Blood ammonia,Normal,Normal,Normal,High
Low ADAMTS13 activity,–,++TTP (but not HUS),–,–
Effect of delivery on disease,Recovery,None,Recovery,Recovery
Management,Supportive care/delivery,Plasma exchange/eculizumab,Supportive care/delivery,Supportive care/delivery
