Clinical Characteristics,ARPKD,NPHP,Meckel-Grubera,GCKDb,ADPKD,TSC
**Clinical onset (years)**,Perinatal,"NPHP2/3/13: 0-5 y, NPHP: 10-18 y",Perinatal infancy,Infancy and older children,Infancyc and older children,Infancyc and older children
**Enlarged kidneys**,Yes,"NPHP2: yes, NPHP3/13: some cases, NPHP: no",Yes,Variable,Occurs,Occurs
**Kidney pathology**,Multiple cysts,"NPHP2/3/13: multiple cysts, NPHP: few cysts at C-M junction",Multiple cysts,Multiple cortical cysts,Multiple cysts,Few to multiple cysts angiomyolipoma
**Cyst infection**,Uncommon,No,Uncommon,No,Occurs,Uncommon
**BP**,Normal/ increased,"NPHP2/13: increased, NPHP: normal",Normal,Normal/increased,Normal/increased,Normal/increased
**Kidney function (glomerular filtration rate)**,Normal/impaired,Normal/impaired,Normal/impaired,Normal,Normal,Normal
**Nephrocalcinosis/ nephrolithiasis**,Nephrocalcinosis up to 25%,No,No,No,Nephrolithiases occur,No
**Congenital hepatic fibrosis**,Yes,Rare,Yes,No,10%-15% infantile ADPKD,No
**Pancreas lesions**,No,No,No,MODY5,No,No
**CNS involvement**,No,(Joubert)d,Encephalocele; cognitive disability,No,No,"Seizures, cognitive disability"
**Genetics**,,,,,,
**Disease gene**,PKHD1,NPHP1-NPHP20,MKS1-MKS12,PKD1 HNF1B,PKD1 PKD2,TSC1 TSC2
**Genetic testinge**,Yes,Most,Most,Yes,Yes,Yes
