Type IV Collagen Group,Glomerular Basement Membrane,Bowman's Capsule,Distal Tubular Basement Membrane,Epidermal Basement Membrane
**Normal (Males and Females)**,,,,
α3(IV),Present,Present,Present,Absent
α4(IV),Present,Present,Present,Absent
α5(IV),Present,Present,Present,Present
**X-Linked (Males)a**,,,,
α3(IV),Absent,Absent,Absent,Absent
α4(IV),Absent,Absent,Absent,Absent
α5(IV),Absent,Absent,Absent,Absent
**X-Linked (Females)b**,,,,
α3(IV),Mosaic,,,Absent
α4(IV),Mosaic,,,Absent
α5(IV),Mosaic,,,Mosaic
**Autosomal Recessive (Males and Females)a**,,,,
α3(IV),Absent,Absent,Absent,Absent
α4(IV),Absent,Absent,Absent,Absent
α5(IV),Absent,Present,Present,Present
