Problem,Therapy
**Removal of lysosomal cystine**,"Cysteamine, 0.325 g/m² q6h;Delayed-release cysteamine, 0.65 g/m² q12h;Goal: Maintain leukocyte cystine level <1 nmol half-cystinea/mg protein"
**Correction of Tubulopathy**,
Dehydration,2-6 L/day fluid
Acidosis,2-15 mmol/kg/day K+ citrate
Hypophosphatemia,1-4 g/day K+ phosphate
Rickets,0.25-1 µg/day calcitriol
Adjunct therapies,"NaCl, carnitine, indomethacin, hydrochlorothiazide"
**Later Therapies**,
Growth failure,Growth hormone
Hypothyroidism,Thyroxine
Kidney failure,"Renal replacement therapy, ideally kidney transplantation"
