Baseline Measurements,Reason for Test
**Radiology**,
CT KUB,Exclude stones
**Ultrasound**,
Ultrasound of kidneys,Assess kidney size and hydronephrosis
Ultrasound of bladder after micturition,Assess residual volume
Urine flow rate,Ensure adequacy
**Scintigraphy**,
Glomerular filtration rate: 51Cr-labeled EDTA,Baseline kidney function
Dynamic isotope scan: 99mTc-labeled MAG3 or DTPA,Assess outflow obstruction
Static isotope scan: 99mTc-labeled DMSA,Assess scarring and divided function
**Biochemistry**,
Urine protein-creatinine ratio,Assess proteinuria
