Parasite,Glomerular Lesions,Tubulointerstitial Lesions,Amyloidosis,"Tissue Reaction, Symptoms",Acute Kidney Injury,Posttransplant Disease
**Schistosomiasis**,,,,,,
S. haematobiuma,MesPGN DPGN with Salmonella,+++,++,Granulomas,,+
S. mansonia,"MesPGN, MPGN, FSGS, MN, DPGN with Salmonella",+,++,Granulomas,,+
S. japonicum,"MesPGN, MPGN (primates, rabbits)",+,,,,
S. mekongi,,+++,,,,
**Malaria**,,,,,,
Plasmodium malariaea,"MPGN, MesPGN, MCD (rare), FSGS (rare), MN (rare)",,,,,
Plasmodium falciparuma,"MesPGN, DPGN, collapsing GP, FSGS, MCD (rare), MPGN (rare), IgAN (rare)",+,,,++,+
**Filariasis**,,,,,,
Onchocerciasisa,"MesPGN, MPGN, MCD",,,River blindness,,+
Loiasis,"MN, MesPGN, MPGN, FSGS (rare)",,,,,
Bancroftiasis,"MesPGN, MPGN, EPGN, collapsing GP",,+,"Chyluria, Pneumonia, Elephantiasis",,
Dirofilariasis,"MPGN (dogs), MN (dogs, cats)",,,,,
**Other**,,,,,,
Brugia malayi,"MesPGN, MPGN, DPGN",+ (rare),+ (rare),,,
Visceral leishmania,"DPGN, MesPGN, MPGN",++,++,,+,+
Kala-azara,,,,,,
Trichinosis,"MesPGN, MPGN",,,,+,
Strongyloidiasis,MesPGN,,,,,
Echinococcosis,"MPGN, MN (rare)",,,Hydatid cysts,,
Opisthorchiasisa,MesPGN,++,+,,++,
Chagas diseasea,MesPGN (mice),,,,,
Babesiosis,MesPGN (rat),,,,++,+
Trypanosomiasis,"MesPGN, MPGN (monkey, rat)",,,,,
Toxoplasmosisa,"MesPGN, MPGN, FSGS (rare)",+,,,,
