Malignancy,Glomerular Diseases
Lung cancer,"MN,^a MCD, MPGN, IgAN, FSGS, CGN, TMA"
Colon cancer,"MN,^a MCD, CGN"
Stomach cancer,MN
Pancreas cancer,"MN,^a MCD, IgAN"
Bladder cancer,MCD
Renal cell cancer,"AAA,^a CGN, IgAN, MCD, FSGS, MPGN"
Prostate cancer,"MN,^a CGN"
Breast cancer,"MN,^a FSGS, MPGN, TMA"
Esophageal cancer,"MPGN,^a FSGS"
Gastrointestinal stromal tumor,AAA
Gastric cancer,"MPGN,^a CGN, TMA"
Spleen sarcoma,AAA
Head and neck cancer,"MN,^a IgAN"
Wilms tumor,"MN,^a MPGN"
Teratoma,MN
Ovarian cancer,"MN,^a MCD"
Cervical cancer,MN
Endometrial cancer,MN
Tongue cancer,IgAN
Mesothelioma,MCD
Melanoma,"MN,^a MPGN"
"Skin cancers (basal cell, squamous cell)",MN
Pheochromocytoma,MN
Thymoma,"MCD,^a FSGS, CGN, MPGN"
Hodgkin disease,"MCD,^a MN, MPGN, IgAN, FSGS, CGN, AAA, anti-GBM"
Non-Hodgkin disease,"MPGN,^a MCD, MN, IgAN, FSGS"
CLL,"MPGN,^a MCD, MN, FSGS, CGN"
AML,"MN,^a FSGS"
CML,"MN,^a MCD, MPGN"
MGUS,MPGN
T-cell leukemia,FSGS
