,Myeloma Kidney,Other MIDDs
**Proteinuria**,<3 g/L,>3 g/L
**Hematuria**,Rare,"LCDD, occasional;Amyloidosis, rare"
**Hypercalcemia**,Common,Absent
**Hypertension**,Uncommon,"LCDD, common;Amyloidosis, uncommon"
**Cytopenias**,"Anemia very common;Leukopenia and;thrombocytopenia, occasional",Uncommon
**Immunoparesis^a**,Very common,Uncommon
**Lytic bone lesions**,Very common,Absent
**Reduced GFR**,Common,Common
**Associated whole immunoglobulin**,"IgA, IgD, IgG",None
**Type of light chain**,Either,Amyloid λ > κ;LCDD κ > λ
**Serum light chain elevation**,>500 mg/L,<500 mg/L
