Quality Indicator,Operational Definition,Proposed Benchmark
**Vascular Access Related**,,
Access site,Right IJ vs. left IJ vs. femoral vein,For monitoring purposes
Tip placement,Tip within 3 cm of caval-atrial junction (for chest lines only),1.0
Catheter dysfunction and failure,Number of catheters with dysfunction/total number of catheters,0.8
CLABSIs,CLABSIs/Number of catheter-line days,0 events per catheter
**Efficacy: Outcomes**,,
Kt/V in IKRT and PIKRT,Kt/V after first session (weekly Kt/V to be calculated),3.9 weekly
Filters used per session,Filters used/Number of sessions,1 per session
Filter life in CKRT,Number of filters lasting 60 h/Total number of filters used,>60% filters
Delivered dose,Actual delivered dose/24 h/Prescribed dose/24 h,>80% of dose
Fluid management,UF removed/24 h/Prescribed UF/24 h,>80% of UF
Small solute clearance,[sCr(d1) - sCr(d2)]/sCr(d2),0
Unplanned time off CKRT,CKRT/24 h,<10% downtime
Downtime,"Calculated from machine (e.g., delays in addressing alarms)",<10% downtime
Medication dosing,Appropriate dose adjustments per CKRT,Daily monitoring
Nutrition and supplements,"Appropriate nutrition, vitamin, and trace element supplements",Daily monitoring
**Safety Indicators**,,
Adverse events,Number of adverse events/Number of patients on CKRT,0 events
**Electrolyte**,,
Hypophosphatemia,Days with phosphate <2.5/Days of CKRT,0 days
Hypokalemia,Days with potassium <2.5/Days of CKRT,0 days
Hypomagnesemia,Days with magnesium <1.8/Days of CKRT,0 days
**Citrate-Related Errors**,,
Calcium (high or low),Days with phosphate <2.5/Days of CKRT,0 days
Alkalosis,Days with potassium <2.5/Days of CKRT,0 days
Hypomagnesemia,Days with magnesium <1.8/Days of CKRT,0 days
