Major Effects,Minor Effects
**Albumin: Binding Sites for Acidic Compounds**,
Barbiturates (↓),Ascorbic acid (↑)
Benzodiazepine (↑),Valproate (↓)
Carbamazepine (↑),Fatty acids (↑)
Fibrates (↑),Nafcillin (↑)
Furosemide (↓),Phenylbutazone (↓)
Mycophenolate mofetil (↑),Probenecid (↑)
Penicillins (↑),Thiopental (↓)
Phenytoin (↓),Warfarin (↓)
Sulfonamides (↓),Thyroxine (↓)
**Globulins: Binding Site for Basic Compounds**,
Digoxin (↓),Adenosine (↑)
Methadone (↑),Amitriptyline (↑)
Propranolol (↑),Chloramphenicol (↑)
