Syndrome,Herbal Medicine
Hypertension,"Glycyrrhiza spp. (Chinese herbal teas, gancao, boui-ougi-tou)"
,Ephedra spp. (ma huang)
Acute tubular necrosis,"Traditional African medicine: toxic plants (Securidaca longepedunculata, Euphoria matabelensis, Callilepis laureola, Cape aloes), or adulteration by dichromate"
,Chinese medicine: Taxus celebica
,Morocco: Takaout roumia (paraphenylenediamine)
Acute interstitial nephritis,Peruvian medicine (Uña de Gato)
,Tung Shueh pills (adulterated by mefenamic acid)
Fanconi syndrome,"Chinese herbs containing AAs (Akebia spp., boui-ougi-tou, Mokutsu)"
,Chinese herbs adulterated by cadmium
Papillary necrosis,Chinese herbs adulterated by phenylbutazone
Chronic interstitial kidney fibrosis,"Chinese herbs or Kampo containing AAs (Aristolochia spp., Akebia spp., Mu Tong, Boui, Mokutsu)"
Urinary retention,"Datura spp., Rhododendron molle (atropine, scopolamine)"
Kidney stones,Ma huang (ephedrine)
,Cranberry juice (oxalate)
Urinary tract carcinoma,Chinese herbs containing AAs
