,AMONG PATIENTS ON DIALYSIS FOR >180 DAYS,,,AMONG PATIENTS AT START OF DIALYSIS,,
Country,N,Mean Hb (g/dL),Hb < 11 g/dL (% of patients),N,Mean Hb (g/dL),Hb < 11 g/dL (% of patients)
Sweden,456,12.0,23,168,10.7,55
United States,1690,11.7,27,458,10.4,65
Spain,513,11.7,31,170,10.6,61
Belgium,442,11.6,29,213,10.3,66
Canada,479,11.6,29,150,10.1,70
Australia and New Zealand,423,11.5,36,108,10.1,70
Germany,459,11.4,35,142,10.5,61
Italy,447,11.3,38,167,10.2,68
United Kingdom,436,11.2,40,93,10.2,67
France,341,11.1,45,86,10.1,65
Japan,1210,10.1,77,131,8.3,95
