Characteristic,Argatroban,Danaparoid,Bivalirudin,Fondaparinux
**Target**,Thrombin,Factor Xa (predominantly),Thrombin,Factor Xa
**Elimination**,Hepatobiliary,Renal,Enzymatic (80%)/renal (20%),Renal
**Approved for patients with HITa**,Treatment/PCI,Treatment,PCI/cardiac surgery,No
**Method of administration**,IV,"IV, SC",IV,SC
**Monitoring**,aPTT,Anti-Xa level,aPTT,Anti-Xa level
,ACT,,ACT or ECT (high doses),
**Effect on INR**,+++,0,++,0
**Immunologic features**,None,5% cross-reactivity with HIT Abb,Potentially cross-reactive with antilepirudin Ab,May cause HIT^c
**Antidote available**,No,No,No,No
**Dialyzable**,20%,Yes,25%,20%
