Culture,Antibiotic
Gram positive: based on sensitivities,Vancomycin or other appropriate antibiotic
Coagulase-negative staphylococci,Treat for 14 days
Staphylococcus aureusa,Treat for 21 days: screen for carriage
Enterococci,Treat for 21 days
Other streptococci,Treat for 14 days
Gram-negative bacilli or mixed bacterial growth,Continue gram-negative coverage based on sensitivities
,Consider switching to third- or fourth-generation cephalosporins
Pseudomonasa or Stenotrophomonas spp.,Two antibiotics based on sensitivity Treat for 21-28 days
Other gram-negative bacilli,Treat for 21 days
,"For mixed gram-negative or gram-negative + gram-positive, consider metronidazole and ampicillin/vancomycin"
