Timetable of Infections,Comments
**First Month After Transplant**,
**Bacterial (Sites and Sources)**,• Common nosocomial bacterial pathogens and Candida spp. predominate;• Risk can be mitigated by appropriate prophylaxis;• Minimize or avoid environmental exposure at all times after transplant (primarily avoiding pigeons and areas of active building construction)
• Urinary tract,
• Respiratory system,
• Bacteremia,
"• Surgical wound or intraabdominal sources (lymphoceles, hematoma, urine leak)",
"• Vascular access or instrumentations (catheters, drains, urinary stents)",
"• Anatomic or functional genitourinary tract abnormalities (ureteral stricture, vesicoureteric reflux, neurogenic bladder)",
• Clostridioides difficile or center-specific multidrug-resistant species,
**Viral**,
• Uncommon except HSV,
**Fungal**,
• Candida spp. predominate (recipient pretransplant colonization or donor derived),
**Organisms Transmitted With Donor Organs Months 1-6**,• Unconventional or opportunistic infections secondary to immunosuppression;• Measures to reduce HBV and HCV infection and/or reactivation;• Universal immunization for HBV;• All patients with HBV infection (HBsAg or HBeAg positive) should receive lifelong antiviral prophylaxisa;• HCV patients should be referred to a hepatologist for consideration of DAA therapyb;• Minimize or avoid environmental exposure at all times after transplant
**Viral**,
"• CMV, HSV, VZV, EBV, HBV, HCV, BK virus (exogenous infection or reactivation of latent disease as a result of immunosuppression)",
"• Others: HHV-6, HHV-7, influenza, parainfluenza, RSV, adenovirus",
**Fungal**,
"• Aspergillus spp., Cryptococcus, agents of mucormycosis",
**Bacterial**,
"• Recurrent urinary tract infections or pyelonephritis, Nocardia, Listeria, Mycobacterium spp. (tuberculous and nontuberculous), Legionella",
**Parasitic**,
"• Pneumocystis jirovecii, Toxoplasma and Strongyloides spp., leishmaniasis, Trypanosoma cruzi",
**After 6 Months**,• Infection risks associated with duration and intensity of immunosuppression and epidemiologic exposures;• Excellent sustained virologic response achieved with direct-acting antiviral agents may lower the long-term incidence of chronic liver disease and cirrhosis in HCV patients;• Minimize or avoid environmental exposure at all times after transplant
**Stable Patients on Low-Dose Immunosuppressants**,
• Community-acquired respiratory and GI viral pathogens,
**History of Multiple Rejection Episodes Requiring Intensification of Immunosuppression**,
"• Viral infections (invasive CMV such as CMV colitis or pneumonitis, VZV, parvovirus B19), late opportunistic infections (Pneumocystis, Cryptococcus, Listeria, nocardiosis), tuberculosis",
**Persistent Infections**,
"• HBV, HCV, papillomavirus, BK virus",
**Geographically Restricted Infections**,
"• Examples: coccidioidomycosis, histoplasmosis, blastomycosis, paracoccidioidomycosis",
**Deep-Seated Infections**,
"• Examples: osteomyelitis, paravertebral abscess;• Predisposing risk factors: chronic skin infections, long-standing poorly controlled diabetes, peripheral vascular disease",
**Associated With Malignancies**,
"• EBV (PTLD), papilloma virus (squamous cell carcinoma), HSV (cervical cancer), HHV-8 (Kaposi sarcoma)",
