Pathogens,Suggested Therapies/Comments
**Bacterial**,
Clostridioides difficile,"**C. difficilea**;• First episode: Oral vancomycin 125 mg 4 times daily for 10-14 days or fidaxomicin 200 mg twice daily for 10 days;• First relapse: treatment same as first episode;• Second relapse: oral vancomycin or fidaxomicin;• Third or more relapses: prolonged oral vancomycin taper (125 mg 4 times a day for 10-14 days, twice times a day for a week, once a day for a week, and then every 2 or 3 days for 2-8 weeks). May consider fecal microbiota transplantation or bezlotoxumab (monoclonal antibody)."
Campylobacter spp.,
Salmonella spp.,
Shigella spp.,
Aeromonas spp.,
Escherichia coli,"**E. coli**;• Enteropathogenic: fluoroquinolone, cephalosporin;• Enterohemorrhagic: avoid antimotility agents, role of antibacterials unclear and should be avoided"
"Others: Vibrio cholera, Yersinia enterocolitica, bacterial overgrowth, chlamydia, Helicobacter pylori",
**Viral**,
CMV,CMV (see text)
Norovirus,"**Norovirus**;• Diagnostic testing: norovirus PCR;• Treatment: supportive (volume repletion, antimotility agents), reduction of immunosuppression (inconclusive evidence), nitazoxanide (anecdotal case reports)"
Sapovirus,
"Others: rotavirus, adenovirus, enterovirus, herpes simplex virus, SARS-CoV-2",
**Parasitic**,
"Giardia, Cryptosporidium, Cyclospora, Microsporidia, Strongyloides, Entamoeba, Isospora",
