,
**No Waiting Time**,Long-standing history of MGUS; hematology-oncology consult is advisable in patients with newly diagnosed monoclonal gammopathy
**No Waiting Time if Cure at the Time of Transplantation**,"Incidental renal cell carcinoma, in situ carcinoma of bladder, in situ carcinoma of cervix, basal cell carcinoma"
"**Waiting Time Varies With Staging, Tumor Size**",
Breast cancer,2-5 years;2-year waiting time for ductal carcinoma in situ;Patients with stage III or IV breast cancer should be advised against transplantation
Prostate cancer,"Old paradigm: 2-year tumor-free waiting time;Current trendᵇ: shorter waiting time is acceptable for patients with grade group 1 or 2 prostate cancer (Gleason score≤ 6 or Gleason 3 + 4, respectively)"
Renal cell carcinoma,2 years if <5 cm;5 years if >5 cm or <5 cm with invasion
"Skin SCCᵇ,ᶜ","Old paradigm: 0- to 2-year waiting time;New paradigmᵈ: low-risk SCC: surgical excision with clear margins or Mohs surgery and no waiting time;High-risk SCC with no perineural invasion: surgical excision with clear margins or Mohs surgery and 2-year waiting time;High-risk SCC with perineural invasion: surgical excision with clear margins or Mohs surgery ± adjuvant radiation therapy and waiting time of 5 years;High-risk SCC with local nodal disease: surgical excision, lymph node dissection, adjuvant radiation therapy, and 5-year waiting time"
"Melanomaᵇ,ᶜ",Old paradigm: 5-year waiting time;New paradigmᵈ: in situ: wide excision and no waiting time;Stage Ia: wide local excision and 2-year waiting time;Stage Ib/IIa: wide local excision and ± sentinel lymph node biopsy and 2- to 5-year waiting time;Stage IIb/IIc: wide local excision and ± sentinel lymph node biopsy and 5-year waiting time;Stage III or IV: not a transplant candidate
PTLD (retransplantation),At least 1-2 yearsᵇ
**Waiting Time 2-5 Yearsᵇ**,"2-year waiting time: invasive bladder, uterine body, Wilms tumor;2- to 5-year waiting time: lymphoma, invasive cervical carcinoma, colorectal carcinoma (at least 5 years for Dukes Bl or higher)"
