Disease,Clinical Recurrence Rate (%),Graft Loss in Recurrent Disease (%)
Primary focal segmental glomerulosclerosis,"20-50 (children), 10-15 (adults)",40-50
Membranoproliferative glomerulonephritis type 1,20-30,30-40
Dense deposit disease,80,"20, often late"
Hemolytic uremic syndrome (HUS),,
Classic D+ HUS,0-13,Uncommon
Atypical D- HUS,30-50,55-100
Familial HUS,57,Approaching 100
IgA nephropathy,"30-40, increases with longer duration of follow-up (30%-60% histologic recurrence rate)",16-33
IgAV (Henoch-Schönlein purpura),Rare (despite 50% histologic recurrence rate),Rare
Membranous nephropathy,10-29 (histologic recurrence may be more common),Up to 50
"Systemic vasculitis, including granulomatosis and microscopic polyangiitis",10-20,20-50
Anti-GBM disease (Goodpasture disease),<5,50
Systemic lupus erythematosus,1-30,Rare
Amyloidosis,25,10-20
